order_id,buyer_id,product_id,quantity,unit_price,total_amount,order_date,status
ORD-001,B-001,PR-001,2,79.99,159.98,2023-06-15,Delivered
ORD-002,B-001,PR-010,3,14.99,44.97,2023-06-20,Delivered
ORD-003,B-002,PR-001,50,79.99,3999.50,2023-05-10,Delivered
ORD-004,B-002,PR-002,30,199.99,5999.70,2023-05-12,Delivered
ORD-005,B-003,PR-008,1,129.99,129.99,2023-07-01,Delivered
ORD-006,B-003,PR-009,2,39.99,79.98,2023-07-01,Delivered
ORD-007,B-004,PR-004,1,249.99,249.99,2023-04-18,Delivered
ORD-008,B-004,PR-005,2,45.99,91.98,2023-04-18,Delivered
ORD-009,B-004,PR-012,3,28.99,86.97,2023-04-20,Delivered
ORD-010,B-005,PR-006,100,29.99,2999.00,2023-03-05,Delivered
ORD-011,B-005,PR-007,50,89.99,4499.50,2023-03-06,Delivered
ORD-012,B-006,PR-018,1,19.99,19.99,2023-08-10,Shipped
ORD-013,B-007,PR-011,1,24.99,24.99,2023-06-25,Delivered
ORD-014,B-007,PR-014,2,18.99,37.98,2023-06-28,Delivered
ORD-015,B-008,PR-003,20,34.99,699.80,2023-02-14,Delivered
ORD-016,B-008,PR-018,15,19.99,299.85,2023-02-15,Delivered
ORD-017,B-009,PR-019,1,44.99,44.99,2023-09-01,Processing
ORD-018,B-009,PR-015,1,22.99,22.99,2023-09-01,Processing
ORD-019,B-010,PR-016,2,49.99,99.98,2023-07-20,Delivered
ORD-020,B-010,PR-017,1,34.99,34.99,2023-07-22,Delivered
ORD-021,B-001,PR-003,1,34.99,34.99,2023-08-05,Delivered
ORD-022,B-002,PR-003,100,34.99,3499.00,2023-06-01,Delivered
ORD-023,B-005,PR-013,30,59.99,1799.70,2023-05-15,Delivered
ORD-024,B-008,PR-004,5,249.99,1249.95,2023-03-10,Delivered
ORD-025,B-003,PR-020,1,89.99,89.99,2023-08-15,Shipped
