enrollment_id,student_id,course_id,professor_id,grade,attendance_percentage,enrollment_date
EN-001,ST-001,C-001,PF-001,A,95,2023-09-01
EN-002,ST-002,C-002,PF-002,A-,88,2023-01-15
EN-003,ST-003,C-004,PF-004,B+,85,2023-01-15
EN-004,ST-004,C-007,PF-007,A,92,2023-09-01
EN-005,ST-005,C-005,PF-005,B,78,2023-09-01
EN-006,ST-006,C-009,PF-009,A-,90,2023-09-01
EN-007,ST-007,C-008,PF-008,B+,87,2023-01-15
EN-008,ST-008,C-013,PF-013,A,96,2023-09-01
EN-009,ST-009,C-010,PF-010,A-,89,2023-01-15
EN-010,ST-010,C-006,PF-006,A,94,2023-01-15
EN-011,ST-001,C-011,PF-011,B+,86,2023-09-01
EN-012,ST-002,C-012,PF-012,A,93,2023-01-15
EN-013,ST-003,C-001,PF-001,B,80,2023-09-01
EN-014,ST-004,C-003,PF-003,A,95,2023-09-01
EN-015,ST-005,C-014,PF-014,A-,88,2023-01-15
EN-016,ST-008,C-005,PF-005,A,97,2023-09-01
EN-017,ST-011,C-001,PF-001,B+,84,2023-09-01
EN-018,ST-012,C-009,PF-009,A-,91,2023-09-01
EN-019,ST-013,C-002,PF-002,B,79,2023-01-15
EN-020,ST-014,C-007,PF-007,A,98,2023-09-01
EN-021,ST-015,C-011,PF-011,A-,90,2023-09-01
EN-022,ST-001,C-010,PF-010,B+,85,2023-01-15
EN-023,ST-002,C-014,PF-014,A,94,2023-01-15
EN-024,ST-008,C-015,PF-015,A,96,2023-09-01
EN-025,ST-004,C-008,PF-008,A-,89,2023-01-15
