Review,Sentiment
This heater is a typical heater.,Neutral
The pillow is a great find.,Positive
This blender is wonderful and easy to use.,Positive
The desk is a forgettable deal.,Neutral
This charger is a piece of junk.,Negative
"Amazing mouse, highly recommend it.",Positive
I am very dissatisfied by this watch.,Negative
I  am  VERY impressed by this camera. 🙄,Positive
This microwave is a forgettable purchase.,Neutral
<i> THIS backpack is a total winner. 😐 <p>,Positive
This air fryer is a middle of the road option.,Neutral
This blanket is a bad experience overall.,Negative
This chair is a bad thing.,Negative
The mouse is a fantastic deal.,Positive
This monitor is a bad thing.,Negative
This backpack is a terrible purchase.,Negative
"The watch is SUPERB, five stars!",Positive
This toaster is a bad purchase.,Negative
The watch is a solid purchase.,Positive
The heater is durable and well built.,Positive
The earbuds is a nightmare to set up.,Negative
The mouse is overpriced and useless.,Negative
"<b> The vacuum is superb, five stars! v2.0 </p>",Positive
Brilliant chair with great features.,Positive
I am really enjoying this camera.,Positive
The charger works fine for basic needs.,Neutral
This laptop is a bad option.,Negative
This earbuds is a fair deal.,Neutral
The tablet is a bad choice.,Negative
The laptop is a bad option overall.,Negative
The pillow is a nightmare to set up.,Negative
This headphones is a forgettable model.,Neutral
This lamp is a forgettable deal.,Neutral
I am very annoyed with this watch.,Negative
The air fryer is a great find.,Positive
The phone is a fantastic investment.,Positive
This router is a modest purchase.,Neutral
I am in love with this laptop.,Positive
This laptop is a middle of the road option.,Neutral
I am very impressed with this drone.,Positive
I am very happy with this blender.,Positive
The tablet is worth every penny.,Positive
The headphones is a forgettable model.,Neutral
<p> The  toaster  is a tolerable purchase. <br/> Visit https://abc.com,Neutral
The watch is a run of the mill watch.,Neutral
The earbuds is a forgettable purchase.,Neutral
The  camera  is a bad choice overall. Visit http://review.example.com 😊,Negative
</p> This earbuds is a bad option. <p>,Negative
I am very ANNOYED with this blender. Visit www.checkthis.com,Negative
This toaster is a bad item overall.,Negative
I am thrilled with this toaster.,Positive
I am very dissatisfied by this microwave.,Negative
The charger is a fantastic deal.,Positive
It is an ordinary mouse.,Neutral
The backpack is a bad purchase.,Negative
I am very pleased with this camera.,Positive
The microphone is poorly made. 2nd ⭐,Negative
The  headphones  IS worth every penny.,Positive
I am very pleased with this laptop.,Positive
This blender is a forgettable buy.,Neutral
This webcam is a forgettable device.,Neutral
"Average quality microwave, does the job.",Neutral
I am so glad I bought this desk.,Positive
THE tablet does not work as advertised. 100% 😡,Negative
This speaker is a forgettable buy. Visit https://amzn.to/3xyz,Neutral
This drone is a brilliant design.,Positive
The chair exceeded MY expectations. 👍,Positive
This keyboard is a forgettable thing.,Neutral
</p> This monitor is a BAD model. <br>,Negative
This microphone is a bad thing.,Negative
The  heater  is a forgettable deal. 🔥,Neutral
Very disappointed with this camera.,Negative
This webcam is a fair deal.,Neutral
The vacuum is a forgettable thing.,Neutral
This webcam is a must have.,Positive
I am very frustrated with this chair.,Negative
The tablet stopped working immediately.,Negative
This microwave is average in every way.,Neutral
The backpack is A forgettable deal. 💔 123,Neutral
"Average quality air fryer, does the job.",Neutral
The microwave is a forgettable device.,Neutral
I am very impressed with this laptop.,Positive
The headphones is fine but could be better.,Neutral
This webcam is neither impressive nor terrible.,Neutral
This mouse is a bad purchase overall.,Negative
"The drone is okay, nothing special.",Neutral
I am blown away by this keyboard.,Positive
I am very happy with this mouse.,Positive
THE toaster is a bad device. Visit https://abc.com 😐,Negative
</i> The fan is a forgettable DEVICE. 👍 </b>,Neutral
This fan is a bad deal.,Negative
<i> The printer exceeded my expectations. <i>,Positive
This fan is a game changer.,Positive
"Fantastic chair, would buy again.",Positive
This backpack is a bad thing.,Negative
The heater is mediocre at best.,Neutral
The microwave is functional but plain.,Neutral
This webcam is a bust.,Negative
The tablet broke after one week.,Negative
The desk is stylish and functional.,Positive
The watch is a run of the mill watch.,Neutral
I am very annoyed with this blanket.,Negative
Brilliant charger with great features.,Positive
The headphones is a delight to use.,Positive
This tablet is a complete failure.,Negative
So pleased with this charger.,Positive
The laptop is a competent but basic item.,Neutral
The keyboard is a pleasure to work with.,Positive
This printer is a forgettable choice.,Neutral
The backpack is sleek and modern.,Positive
I am very disappointed by this earbuds.,Negative
This air fryer is a great value for money.,Positive
This printer is a forgettable device.,Neutral
I am very pleased WITH this blanket. Visit https://amzn.to/3xyz v2.0,Positive
The mouse is a competent but basic item.,Neutral
The speaker is neither good nor bad.,Neutral
The earbuds is a bad choice overall.,Negative
This speaker is a piece of junk.,Negative
The drone is a basic model.,Neutral
The speaker is a standard offering.,Neutral
This drone is a forgettable model.,Neutral
The router is a bad item.,Negative
This charger is a fair deal.,Neutral
"Average quality blender, does the job.",Neutral
This heater is awful and cheap.,Negative
The monitor is a wonderful experience.,Positive
This camera is a piece of junk.,Negative
The vacuum is a flop.,Negative
The microphone is a competent but basic item.,Neutral
This fan is awful and cheap.,Negative
The headphones is a bad purchase.,Negative
I am very dissatisfied with this watch.,Negative
This webcam is simply the best.,Positive
"Average quality air fryer, does the job.",Neutral
I am very impressed by this headphones.,Positive
This charger is a bad item.,Negative
This phone is a typical phone.,Neutral
I am very impressed with this blanket.,Positive
"My favorite purchase this year, this microphone.",Positive
I am so glad I bought this monitor.,Positive
This camera is a piece of junk.,Negative
The keyboard is a bad purchase.,Negative
<i>  The  fan is adequate for everyday use. <i>,Neutral
The desk is adequate for everyday use.,Neutral
This charger is absolutely perfect.,Positive
This microphone IS a great addition to my home.,Positive
The toaster is a solid purchase.,Positive
"Excellent printer, fast delivery too.",Positive
The lamp is an unremarkable lamp.,Neutral
</i> This vacuum is JUST standard. 👍 <br/>,Neutral
The printer is a run of the mill printer.,Neutral
The blanket is a pleasure to work with. 3x,Positive
This desk is a real bargain.,Positive
The phone is neither good nor bad.,Neutral
The microphone is a forgettable item.,Neutral
The backpack is a bad device overall.,Negative
The heater is a competent but basic item.,Neutral
The toaster is a forgettable deal.,Neutral
"The vacuum is okay, nothing special.",Neutral
This  microphone  is a complete failure. Visit https://www.productlink.com/page1,Negative
I am very happy with this pillow.,Positive
I am very impressed with this monitor.,Positive
The charger broke after one week.,Negative
The blanket is a standard offering.,Neutral
This keyboard is a bad experience overall.,Negative
"Average quality watch, does the job.",Neutral
I am very HAPPY with this printer. 😍,Positive
I regret buying this phone.,Negative
The vacuum is a bad experience.,Negative
This mouse is just okay.,Neutral
It is an ordinary watch.,Neutral
This camera is a middle of the road option.,Neutral
I am so glad I bought this keyboard.,Positive
The speaker is a bad deal.,Negative
The speaker is a bad device.,Negative
The laptop is a forgettable thing.,Neutral
Really happy with this blanket.,Positive
"Outstanding monitor, top notch quality.",Positive
The vacuum is durable and well built.,Positive
The microwave is a passable product.,Neutral
This printer is a must have.,Positive
The speaker is a mess.,Negative
The printer is a bad item.,Negative
"Amazing microwave, highly recommend it.",Positive
"EXCELLENT pillow, fast delivery too.",Positive
I am VERY disappointed by this mouse. Visit www.checkthis.com,Negative
I am very dissatisfied by this drone.,Negative
This air fryer is a bad purchase.,Negative
"My favorite purchase this year, this blanket.",Positive
The blanket is a forgettable thing.,Neutral
The watch is a bad device.,Negative
This vacuum is a terrible purchase.,Negative
This chair is a great addition to my home.,Positive
This fan is a bad option.,Negative
This phone is a great addition to my home.,Positive
The pillow is a top quality item.,Positive
The keyboard works fine for basic needs.,Neutral
The backpack is a run of the mill backpack.,Neutral
The vacuum is fast and responsive.,Positive
</p> The DRONE is a forgettable option. Visit https://amzn.to/3xyz <b>,Neutral
This blender is a bad buy.,Negative
The  mouse  is a forgettable thing.,Neutral
I  AM  very impressed with this charger. 😊,Positive
<b> This lamp is a bad buy. <p> 2nd,Negative
This microphone is a fair deal.,Neutral
The router is a PLEASURE to work with. v2.0,Positive
<i>  The  blanket is a bad option overall. <br/>,Negative
The microphone broke after one week.,Negative
<b> This camera is a forgettable deal. 50% <br/>,Neutral
The chair is a fantastic deal.,Positive
The speaker is overpriced and useless.,Negative
This speaker is a terrible purchase. v2.0,Negative
This watch is a forgettable buy.,Neutral
The monitor is functional but plain. 4567,Neutral
Worst heater I have ever purchased.,Negative
