ID,Test Class,Status,Duration (ms),Duration (s),Start Time,End Time,Browser,Environment,Tested By,Error Message
124,potest.MyFile_RMtest_SalesQuotation_Happypath,passed,93181,93.2,2026-02-05 11:49:01,2026-02-05 11:50:34,Firefox,Local,svrajmohan,
123,potest.MyFile_RMtest_SalesQuotation_Happypath,failed,145790,145.8,2026-02-05 11:46:47,2026-02-05 11:49:13,Firefox,Local,svrajmohan,"Page context unavailable: Tried to run command without establishing a connection
Build info: version: '3.141.59', revision: 'e82be7d358', time: '2018-11-14T08:17:03'
System info: host: 'RMPC', ip: '192.168.0.6', os.name: 'Windows 11', os.arch: 'amd64', os.version: '10.0', java.version: '21.0.5'
Driver info: org.openqa.selenium.firefox.FirefoxDriver
Capabilities {acceptInsecureCerts: true, browserName: firefox, browserVersion: 147.0.2, javascriptEnabled: true, moz:accessibilityChecks: false, moz:... (truncated)"
122,potest.MyFile_RMtest_AssetPurchaseHappypath,passed,53774,53.8,2026-02-05 11:41:37,2026-02-05 11:42:31,Firefox,Local,svrajmohan,
121,potest.MyFile_RMtest_AssetPurchaseHappypath,failed,52312,52.3,2026-02-05 11:39:00,2026-02-05 11:39:52,Firefox,Local,svrajmohan,"URL: https://eformqa.agilityclouds.com/appbuilder/eFormRender.html?Process=Asset%20Purchase | Page Title: Asset Purchase Request
current thread is not owner"
120,potest.MyFile_RMtest_AssetPurchaseHappypath,failed,45021,45.0,2026-02-05 11:37:03,2026-02-05 11:37:48,Firefox,Local,svrajmohan,"URL: https://eformqa.agilityclouds.com/appbuilder/eFormRender.html?Process=Asset%20Purchase | Page Title: Asset Purchase Request
current thread is not owner"
119,potest.MyFile_RMtest_AssetPurchaseHappypath,failed,46611,46.6,2026-02-05 11:35:24,2026-02-05 11:36:10,Firefox,Local,svrajmohan,"URL: https://eformqa.agilityclouds.com/appbuilder/eFormRender.html?Process=Asset%20Purchase | Page Title: Asset Purchase Request
current thread is not owner"
118,potest.MyFile_RMtest_AssetPurchaseHappypath,passed,46722,46.7,2026-02-05 11:33:47,2026-02-05 11:34:34,Edge,Local,svrajmohan,
117,potest.MyFile_RMtest_AssetPurchaseHappypath,failed,135979,136.0,2026-02-05 11:31:23,2026-02-05 11:33:39,Firefox,Local,svrajmohan,"Page context unavailable: Tried to run command without establishing a connection
Build info: version: '3.141.59', revision: 'e82be7d358', time: '2018-11-14T08:17:03'
System info: host: 'RMPC', ip: '192.168.0.6', os.name: 'Windows 11', os.arch: 'amd64', os.version: '10.0', java.version: '21.0.5'
Driver info: org.openqa.selenium.firefox.FirefoxDriver
Capabilities {acceptInsecureCerts: true, browserName: firefox, browserVersion: 147.0.2, javascriptEnabled: true, moz:accessibilityChecks: false, moz:... (truncated)"
116,potest.MyFile_RMtest_AssetPurchaseHappypath,failed,46139,46.1,2026-02-05 11:25:00,2026-02-05 11:25:46,Firefox,Local,svrajmohan,"URL: https://eformqa.agilityclouds.com/appbuilder/eFormRender.html?Process=Asset%20Purchase | Page Title: Asset Purchase Request
current thread is not owner"
115,potest.MyFile_RMtest_AssetPurchaseHappypath,failed,116740,116.7,2026-02-05 11:23:04,2026-02-05 11:25:01,Firefox,Local,svrajmohan,"Page context unavailable: Tried to run command without establishing a connection
Build info: version: '3.141.59', revision: 'e82be7d358', time: '2018-11-14T08:17:03'
System info: host: 'RMPC', ip: '192.168.0.6', os.name: 'Windows 11', os.arch: 'amd64', os.version: '10.0', java.version: '21.0.5'
Driver info: org.openqa.selenium.firefox.FirefoxDriver
Capabilities {acceptInsecureCerts: true, browserName: firefox, browserVersion: 147.0.2, javascriptEnabled: true, moz:accessibilityChecks: false, moz:... (truncated)"
114,potest.MyFile_RMtest_AssetPurchaseHappypath,passed,57077,57.1,2026-02-05 11:19:01,2026-02-05 11:19:58,Firefox,Local,svrajmohan,
113,potest.MyFile_RMtest_AssetPurchaseHappypath,failed,157376,157.4,2026-02-05 11:10:33,2026-02-05 11:13:11,Firefox,Local,svrajmohan,"Page context unavailable: Tried to run command without establishing a connection
Build info: version: '3.141.59', revision: 'e82be7d358', time: '2018-11-14T08:17:03'
System info: host: 'RMPC', ip: '192.168.0.6', os.name: 'Windows 11', os.arch: 'amd64', os.version: '10.0', java.version: '21.0.5'
Driver info: org.openqa.selenium.firefox.FirefoxDriver
Capabilities {acceptInsecureCerts: true, browserName: firefox, browserVersion: 146.0.1, javascriptEnabled: true, moz:accessibilityChecks: false, moz:... (truncated)"
112,potest.MyFile_RMtest_AssetPurchaseHappypath,failed,128712,128.7,2026-02-05 11:04:56,2026-02-05 11:07:05,Firefox,Local,svrajmohan,"Page context unavailable: Tried to run command without establishing a connection
Build info: version: '3.141.59', revision: 'e82be7d358', time: '2018-11-14T08:17:03'
System info: host: 'RMPC', ip: '192.168.0.6', os.name: 'Windows 11', os.arch: 'amd64', os.version: '10.0', java.version: '21.0.5'
Driver info: org.openqa.selenium.firefox.FirefoxDriver
Capabilities {acceptInsecureCerts: true, browserName: firefox, browserVersion: 146.0.1, javascriptEnabled: true, moz:accessibilityChecks: false, moz:... (truncated)"
111,potest.MyFile_RMtest_AssetPurchaseHappypath,passed,44248,44.2,2026-02-05 11:02:06,2026-02-05 11:02:50,Edge,Local,svrajmohan,
110,potest.MyFile_RMtest_AssetPurchaseHappypath,passed,51119,51.1,2026-02-05 10:57:43,2026-02-05 10:58:34,Edge,Local,svrajmohan,
109,potest.MyFile_RMtest_AssetPurchaseHappypath,passed,51167,51.2,2026-02-05 10:55:13,2026-02-05 10:56:04,Edge,Local,svrajmohan,
108,potest.MyFile_RMtest_AssetPurchaseHappypath,failed,147423,147.4,2026-02-05 10:52:39,2026-02-05 10:55:06,Firefox,Local,svrajmohan,"URL: https://eformqa.agilityclouds.com/appbuilder/eFormRender.html?Process=RME2E01JulTestAppProcess | Page Title: Submit Form
Unable to locate element: //*[@id='DS_APDataEntity_AssetPurchase_RequisitionNumber__u']
For documentation on this error, please visit: https://www.seleniumhq.org/exceptions/no_such_element.html
Build info: version: '3.141.59', revision: 'e82be7d358', time: '2018-11-14T08:17:03'
System info: host: 'RMPC', ip: '192.168.0.6', os.name: 'Windows 11', os.arch: 'amd64', os.versi... (truncated)"
107,potest.MyFile_RMTest17Nov2025Smoketest,passed,67310,67.3,2026-02-05 10:26:18,2026-02-05 10:27:26,Firefox,Local,svrajmohan,
106,potest.MyFile_RMTest17Nov2025Smoketest,passed,70761,70.8,2026-02-05 10:24:01,2026-02-05 10:25:12,Firefox,Local,svrajmohan,
105,potest.MyFile_RMtest_SalesQuotation_Happypath,failed,156786,156.8,2026-02-05 10:19:15,2026-02-05 10:21:52,Firefox,PROD,svrajmohan,"Page context unavailable: Tried to run command without establishing a connection
Build info: version: '3.141.59', revision: 'e82be7d358', time: '2018-11-14T08:17:03'
System info: host: 'RMPC', ip: '192.168.0.6', os.name: 'Windows 11', os.arch: 'amd64', os.version: '10.0', java.version: '21.0.5'
Driver info: org.openqa.selenium.firefox.FirefoxDriver
Capabilities {acceptInsecureCerts: true, browserName: firefox, browserVersion: 146.0.1, javascriptEnabled: true, moz:accessibilityChecks: false, moz:... (truncated)"
104,potest.MyFile_RMtest_SalesQuotation_Happypath,passed,85922,85.9,2026-02-05 10:15:08,2026-02-05 10:16:34,Chrome,PROD,svrajmohan,
103,potest.MyFile_RMtest_SalesIncentiveClaimHappypath,failed,170033,170.0,2026-02-05 10:08:26,2026-02-05 10:11:16,Firefox,PROD,svrajmohan,"URL: https://eformqa.agilityclouds.com/ApplicationBuilder/eFormRender.html?WID= | Page Title: eForm
Unable to locate element: #RequestedDate
For documentation on this error, please visit: https://www.seleniumhq.org/exceptions/no_such_element.html
Build info: version: '3.141.59', revision: 'e82be7d358', time: '2018-11-14T08:17:03'
System info: host: 'RMPC', ip: '192.168.0.6', os.name: 'Windows 11', os.arch: 'amd64', os.version: '10.0', java.version: '21.0.5'
Driver info: org.openqa.selenium.firef... (truncated)"
102,potest.MyFile_RMtest_SalesIncentiveClaimHappypath,failed,155866,155.9,2026-02-05 10:04:06,2026-02-05 10:06:42,Firefox,PROD,svrajmohan,"Page context unavailable: Tried to run command without establishing a connection
Build info: version: '3.141.59', revision: 'e82be7d358', time: '2018-11-14T08:17:03'
System info: host: 'RMPC', ip: '192.168.0.6', os.name: 'Windows 11', os.arch: 'amd64', os.version: '10.0', java.version: '21.0.5'
Driver info: org.openqa.selenium.firefox.FirefoxDriver
Capabilities {acceptInsecureCerts: true, browserName: firefox, browserVersion: 146.0.1, javascriptEnabled: true, moz:accessibilityChecks: false, moz:... (truncated)"
101,potest.MyFile_RMtest_SalesIncentiveClaimHappypath,passed,95612,95.6,2026-02-05 09:59:57,2026-02-05 10:01:33,Edge,PROD,svrajmohan,
100,potest.MyFile_RMtest_SalesIncentiveClaimHappypath,failed,320916,320.9,2026-02-05 09:53:20,2026-02-05 09:58:41,Edge,PROD,svrajmohan,"URL: https://eformqa.agilityclouds.com/ApplicationBuilder/eFormRender.html?WID= | Page Title: eForm
no such element: Unable to locate element: {""method"":""css selector"",""selector"":""#RequestedDate""}
  (Session info: MicrosoftEdge=144.0.3719.104)
For documentation on this error, please visit: https://www.seleniumhq.org/exceptions/no_such_element.html
Build info: version: '3.141.59', revision: 'e82be7d358', time: '2018-11-14T08:17:03'
System info: host: 'RMPC', ip: '192.168.0.6', os.name: 'Windows 1... (truncated)"
99,potest.MyFile_20260204_231244todelete,passed,106941,106.9,2026-02-04 23:48:52,2026-02-04 23:50:39,Chrome,PROD,svrajmohan,
98,potest.MyFile_RMtest_AssetPurchaseHappypath,passed,57763,57.8,2026-02-04 23:20:11,2026-02-04 23:21:08,Chrome,PROD,svrajmohan,
97,potest.MyFile_RMTest17Nov2025Smoketest,failed,146025,146.0,2026-02-04 23:15:15,2026-02-04 23:17:41,Edge,PROD,Alice,"URL: https://eformqa.agilityclouds.com/ApplicationBuilder/eFormRender.html?WID=BED8C2810830DBFB111101D4022E09B0 | Page Title: Approvers Form
no such element: Unable to locate element: {""method"":""xpath"",""selector"":""//*[@id='Submit1']|//input[@value='Submit1']|//input[@title='Submit1']""}
  (Session info: MicrosoftEdge=144.0.3719.104)
For documentation on this error, please visit: https://www.seleniumhq.org/exceptions/no_such_element.html
Build info: version: '3.141.59', revision: 'e82be7d358', tim... (truncated)"
96,potest.MyFile_RMTest17Nov2025Smoketest,failed,144807,144.8,2026-02-04 22:50:05,2026-02-04 22:52:30,Edge,PROD,Alice,"URL: https://eformqa.agilityclouds.com/ApplicationBuilder/eFormRender.html?WID=BED8C2810830DBFB111101D0834806CD | Page Title: Approvers Form
no such element: Unable to locate element: {""method"":""xpath"",""selector"":""//*[@id='RMComment1']""}
  (Session info: MicrosoftEdge=144.0.3719.104)
For documentation on this error, please visit: https://www.seleniumhq.org/exceptions/no_such_element.html
Build info: version: '3.141.59', revision: 'e82be7d358', time: '2018-11-14T08:17:03'
System info: host: 'RMPC... (truncated)"
95,potest.MyFile_RMTest17Nov2025Smoketest,failed,155703,155.7,2026-02-04 22:36:40,2026-02-04 22:39:15,Edge,PROD,Alice,"no such element: Unable to locate element: {""method"":""xpath"",""selector"":""//*[@id='RMComment1']""}
  (Session info: MicrosoftEdge=144.0.3719.104)
For documentation on this error, please visit: https://www.seleniumhq.org/exceptions/no_such_element.html
Build info: version: '3.141.59', revision: 'e82be7d358', time: '2018-11-14T08:17:03'
System info: host: 'RMPC', ip: '192.168.0.6', os.name: 'Windows 11', os.arch: 'amd64', os.version: '10.0', java.version: '21.0.5'
Driver info: org.openqa.selenium.ed... (truncated)"
94,potest.MyFile_RMTest17Nov2025Smoketest,passed,65859,65.9,2026-02-04 21:01:25,2026-02-04 21:02:31,Edge,PROD,Alice,
93,potest.MyFile_RMTest17Nov2025Smoketest,passed,83581,83.6,2026-02-04 20:59:02,2026-02-04 21:00:26,Chrome,PROD,Alice,
92,potest.MyFile_RMTest17Nov2025Smoketest,passed,68213,68.2,2026-02-04 20:27:59,2026-02-04 20:29:07,Chrome,PROD,Deepa,
91,potest.MyFile_RMTest17Nov2025Smoketest,passed,64451,64.5,2026-02-04 20:25:34,2026-02-04 20:26:38,Edge,PROD,Deepa,
90,potest.MyFile_RMTest17Nov2025Smoketest,passed,70586,70.6,2026-02-04 19:55:21,2026-02-04 19:56:31,Firefox,PROD,Deepa,
89,potest.MyFile_RMTest17Nov2025Smoketest,passed,65734,65.7,2026-02-04 17:02:28,2026-02-04 17:03:34,Firefox,PROD,Alice,
88,potest.MyFile_RMTest17Nov2025Smoketest,passed,68647,68.6,2026-02-04 16:41:58,2026-02-04 16:43:07,Firefox,PROD,Alice,
87,potest.MyFile_RMTest17Nov2025Smoketest,passed,67238,67.2,2026-02-04 16:22:01,2026-02-04 16:23:09,Firefox,PROD,svraj,
86,potest.MyFile_RMTest17Nov2025Smoketest,failed,119969,120.0,2026-02-04 16:19:01,2026-02-04 16:21:01,Firefox,PROD,svraj,"Unable to locate element: //*[@id='RMComment1']
For documentation on this error, please visit: https://www.seleniumhq.org/exceptions/no_such_element.html
Build info: version: '3.141.59', revision: 'e82be7d358', time: '2018-11-14T08:17:03'
System info: host: 'RMPC', ip: '192.168.0.6', os.name: 'Windows 11', os.arch: 'amd64', os.version: '10.0', java.version: '21.0.5'
Driver info: org.openqa.selenium.firefox.FirefoxDriver
Capabilities {acceptInsecureCerts: true, browserName: firefox, browserVersio... (truncated)"
85,potest.MyFile_RMtest_AssetPurchaseHappypath,failed,234261,234.3,2026-02-04 16:10:21,2026-02-04 16:14:16,Firefox,Local,svraj,"Unable to locate element: #DS_APDataEntity_AssetPurchase_RequisitionDate__u
For documentation on this error, please visit: https://www.seleniumhq.org/exceptions/no_such_element.html
Build info: version: '3.141.59', revision: 'e82be7d358', time: '2018-11-14T08:17:03'
System info: host: 'RMPC', ip: '192.168.0.6', os.name: 'Windows 11', os.arch: 'amd64', os.version: '10.0', java.version: '21.0.5'
Driver info: org.openqa.selenium.firefox.FirefoxDriver
Capabilities {acceptInsecureCerts: true, browser... (truncated)"
84,potest.MyFile_RMtest_AssetPurchaseHappypath,passed,50810,50.8,2026-02-04 16:08:06,2026-02-04 16:08:57,Edge,Local,svraj,
83,potest.MyFile_RMtest_AssetPurchaseHappypath,passed,53017,53.0,2026-02-04 12:51:18,2026-02-04 12:52:11,Chrome,Local,svraj,
82,potest.MyFile_RMtest_AssetPurchaseHappypath,failed,236922,236.9,2026-02-04 12:45:25,2026-02-04 12:49:22,Chrome,Local,svraj,"no such element: Unable to locate element: {""method"":""css selector"",""selector"":""#DS_APDataEntity_AssetPurchase_RequisitionDate__u""}
  (Session info: chrome=144.0.7559.110)
For documentation on this error, please visit: https://www.seleniumhq.org/exceptions/no_such_element.html
Build info: version: '3.141.59', revision: 'e82be7d358', time: '2018-11-14T08:17:03'
System info: host: 'RMPC', ip: '192.168.0.6', os.name: 'Windows 11', os.arch: 'amd64', os.version: '10.0', java.version: '21.0.5'
Driver ... (truncated)"
81,potest.MyFile_RMtest_AssetPurchaseHappypath,passed,53559,53.6,2026-02-04 09:44:48,2026-02-04 09:45:42,Chrome,Local,svraj,
80,potest.MyFile_RMtest_PurchaseRequestHappypath,passed,58487,58.5,2026-02-04 09:29:27,2026-02-04 09:30:25,Chrome,Local,svraj,
61,AutoTestTool,cancelled,0,0.0,2026-02-03T15:52:51.499629,2026-02-03 23:54:03,Edge,Local,svraj,
