purchase_id,customer_id,product_id,quantity,total_amount,purchase_date
PR-001,CU-001,P-001,5,24995,2020-01-15
PR-002,CU-001,P-007,100000,2300,2020-03-20
PR-003,CU-002,P-003,3,4500,2019-08-10
PR-004,CU-002,P-010,10,19990,2020-02-05
PR-005,CU-003,P-008,50000,4900,2021-01-10
PR-006,CU-003,P-014,2,90000,2020-06-15
PR-007,CU-004,P-012,200,59800,2020-09-01
PR-008,CU-004,P-013,50,29950,2021-02-14
PR-009,CU-005,P-009,1,50000,2021-07-01
PR-010,CU-005,P-005,10,1990,2021-08-15
PR-011,CU-006,P-011,50,44950,2019-10-20
PR-012,CU-006,P-001,3,14997,2020-04-01
PR-013,CU-007,P-016,5,6000,2020-12-10
PR-014,CU-008,P-004,2,7000,2019-05-15
PR-015,CU-009,P-017,1,499,2020-11-20
PR-016,CU-009,P-002,1,2999,2021-03-01
PR-017,CU-010,P-015,3,156000,2018-07-01
PR-018,CU-010,P-008,100000,9800,2019-01-15
